case_id,action_number,action,owner,timing,verification
CASE-005,2,Introduce mandatory spill trays for all solvent transfers >10 mL.,Lab Safety Coordinator,Immediate,Spot-checks documented in lab-safety rounds
CASE-005,3,Procure size-specific dispenser tips to ensure proper fit with volumetric flasks.,Purchasing & Lab Manager,30–90 days,Inventory confirmation and technician feedback
CASE-005,4,Add a “solvent-transfer micro-JHA” checklist to sample-prep procedures.,QA Systems Specialist,<30 days,Review of completed checklists over next 10 tasks
CASE-005,5,Implement glove-change protocol for any high-frequency solvent task.,HSE Advisor,Immediate,PPE compliance inspection logs
CASE-005,6,Reduce bench clutter by adopting a clean-bench policy with start-of-shift reset.,Laboratory Supervisor,<30 days,Random weekly inspections
CASE-005,7,Add visual floor/bench markers indicating safe equipment distances from edges.,Facilities Technician,30–90 days,Visual confirmation during HSE walkthrough
CASE-005,8,Refresh annual training modules on splash hazards and ergonomic positioning.,HSE Advisor,<30 days,Training attendance and quiz results
CASE-005,9,"Evaluate alternative dispensing methods (pipette-pump, dropper bottle) for high-risk solvents.",Lab Manager,>90 days,Review of trial data and adoption decision
CASE-005,10,Update near-miss reporting procedures to capture splash-zone deviations.,QA Systems Specialist,<30 days,"Audit of incident-reporting completeness. -waste splash, centrifuge tube failure, incompatible mixing)"
CASE-006,1,Create a standardized layout for waste-consolidation stations with defined spacing zones.,Lab Supervisor,<30 days,Layout check during weekly lab walkdown
CASE-006,2,Introduce maximum container-count rules for consolidation tasks.,HSE Advisor,Immediate,Random compliance audits
CASE-006,3,Install spill trays and bottle stabilizers at all consolidation benches.,Facilities Technician,30–90 days,Inventory and installation checklist
CASE-006,4,Update waste-handling SOPs with explicit reach-zone and body-position guidance.,QA Systems Specialist,<30 days,SOP revision approval
CASE-006,5,Provide refresher training on solvent-handling ergonomics and line-of-fire awareness.,HSE Advisor,<30 days,Training attendance logs
CASE-006,6,Implement mandatory bench-reset at the start and end of each shift.,Lab Supervisor,Immediate,Supervisor spot-checks
CASE-006,7,Add visual cues (tape outlines or markers) showing minimum container spacing.,Facilities Technician,30–90 days,Visual inspection
CASE-006,8,Procure fitted lab-coat sleeves or sleeve-retainers for solvent-handling tasks.,Purchasing,>90 days,PPE issue records
CASE-006,9,Add unannounced ergonomic hazard observations to monthly HSE rounds.,HSE Advisor,Immediate,Observation reports
CASE-006,10,Update newhire onboarding to include handson solventtransfer practice with mock bottles.,Training Coordinator,<30 days,Skills demonstration signof f.-hire onboarding to include hands-on solvent-transfer practice with mock bottles
CASE-007,1,Add signage encouraging spill-proof containers in open office areas.,Office Services Coordinator,<30 days,Visual confirmation during floor checks
CASE-007,2,Establish guidelines for keeping shared tables and walkway edges clear.,HSE Advisor,Immediate,Weekly housekeeping audits
CASE-007,3,Rearrange collaborative spaces to provide wider movement paths.,Facilities Manager,30–90 days,Post-implementation walkthrough report
CASE-007,4,Provide cable-management solutions that elevate or protect power strips from spills.,IT Support Lead,<30 days,Equipment installation log
CASE-007,5,Deliver a short safety reminder during next all-hands meeting on safe transport of liquids.,HSE Advisor,Immediate,Meeting minutes and attendance
CASE-007,6,Implement “edge-free zones” marking on shared tables to prevent material stacking at edges.,Office Services Coordinator,<30 days,Visual inspection
CASE-007,7,Introduce routine morning floor sweeps for congestion-prone areas.,Facilities Manager,Immediate,Daily sweep checklist
CASE-007,8,Provide spill kits in office kitchenette areas.,HSE Advisor,30–90 days,Stock and location check
CASE-007,9,Add a simple risk-awareness slide to onboarding for office-based staff.,HR Training Lead,>90 days,Training record review
CASE-007,10,Encourage team leads to relocate discussions to meeting rooms during peak traffic periods.,Department Managers,Immediate,Periodic behavioral observation
CASE-008,1,Add mandatory upstream valve seating verification to isolation procedure.,Ops Supervisor,<30 days,Procedure audit and field walkthrough
CASE-008,2,Inspect and refurbish valves showing degraded sealing performance.,Maintenance Lead,30–90 days,CMMS records review and functional test results
CASE-008,3,Update toolbox talk template to include “recent equipment anomalies” prompt.,HSE Advisor,<30 days,Observed use during pre-job meetings
CASE-008,4,Introduce handheld radio protocol for tasks in high-noise areas.,Operations Manager,>90 days,Field spot checks
CASE-008,5,Conduct targeted training on isolation hierarchy and double-valve verification.,Training Coordinator,<30 days,Attendance logs and post-training quiz
CASE-008,6,Reassess valve accessibility in congested rack areas and propose layout improvements.,Reliability Engineer,>90 days,Engineering review package
CASE-008,7,Implement periodic reviews of isolation checklists for completeness.,HSE Systems Lead,30–90 days,Documented checklist revisions
CASE-008,8,Add temporary barriers or barricade tape requirement during isolation work.,Ops Supervisor,Immediate,Field inspection
CASE-008,9,Establish a short “isolation confirmation” step between operations and maintenance before draining.,Maintenance Planner,<30 days,Updated job plans
CASE-008,10,Launch a brief awareness campaign highlighting recent near misses involving isolation lapses.,HSE Advisor,30–90 days,Campaign materials and workforce feedback
CASE-009,1,Add a hose-connection verification step to the liquid transfer procedure.,Operations Supervisor,<30 days,Field audit of updated procedures during next transfer
CASE-009,2,Implement a gasket replacement schedule for all transfer hoses.,Maintenance Lead,30–90 days,CMMS record review and gasket condition checks
CASE-009,3,Install improved LED lighting in the solvent transfer bay.,Facilities Coordinator,>90 days,Post-installation lighting measurement and operator feedback
CASE-009,4,Introduce a peer-check requirement before pump start-up in hose transfer tasks.,HSE Advisor,<30 days,Observational reports and pre-task briefing reviews
CASE-009,5,"Procure and deploy color-coded, deformation-resistant gasket kits.",Procurement & Stores Lead,<30 days,Inventory tracking and spot-checks in the field
CASE-009,6,Conduct a refresher session on hose handling and cam-lock inspection techniques.,Training Coordinator,30–90 days,Attendance records and post-training competency quiz
CASE-009,7,Update pre-task briefing template to include “equipment condition anomalies.”,HSE Systems Specialist,<30 days,Document control review and field checks
CASE-010,1,Add mandatory scaffold re-inspection step after any component adjustment.,Site Scaffolding Coordinator,<30 days,Random field audits of updated scaffolding checklists
CASE-010,2,Update contractor induction to include hands-on demonstration of locking-pin verification.,HSE Advisor,<30 days,Attendance logs and post-training competency checks
CASE-010,3,Enhance lighting around multi-level scaffolds in congested work areas.,Facilities & Maintenance Lead,>90 days,Light-level readings and operator feedback
CASE-010,4,Implement a formal contractor-to-contractor shift handover template for scaffold-related tasks.,Contractor Supervisor,<30 days,Review of completed handover forms
CASE-010,5,Introduce pre-lift verification of work platform stability as part of the lift plan.,Operations Supervisor,Immediate,Field observations during lifts
CASE-010,6,Establish radio-communication protocol for all elevated lifts in noisy areas.,Operations & HSE Lead,30–90 days,Spot-checks during field tasks
CASE-010,7,Add scaffold pin-engagement checks into daily contractor toolbox talks.,Contractor Foreman,Immediate,"Toolbox talk documentation review. -breaking, excavation—I can generate it. -breaking case"
CASE-011,1,Add mandatory upstream/downstream valve seating verification to line-breaking procedures.,Operations Supervisor,<30 days,Procedure audit during next line-breaking task
CASE-011,2,Update piping diagrams and ensure they are reviewed during all pre-job briefs.,Engineering Document Control Lead,30–90 days,Document control checklist and field confirmation
CASE-011,3,Implement an “operations confirmation” sign-of f step for all contractor line breaks.,HSE Advisor,<30 days,Permit-to-W ork field audits
CASE-011,4,Install improved lighting near congested isolation valves.,Facilities Coordinator,>90 days,Lighting assessment and worker feedback
CASE-011,5,Introduce contractor refresher sessions on zero-energy verification.,Training Coordinator,30–90 days,Attendance records and competency quiz
CASE-011,6,Require pre-break pressure checks on liquids systems where feasible.,Maintenance Supervisor,Immediate,Random field observation
CASE-011,7,Add a job-step for “slow loosen & pause” during flange opening to detect early seepage.,Contractor Foreman,Immediate,Toolbox talk documentation
CASE-011,8,Establish a communication protocol for noisy areas (hand signals or radios).,Operations Lead,<30 days,Spot checks during line-breaking tasks. -work case
CASE-012,1,Add 360° inspection requirement to hot-work permits.,HSE Systems Lead,<30 days,Random permit audits
CASE-012,2,Conduct joint contractor–operations walkdowns for all hot-work locations.,Operations Supervisor,Immediate,Field checklists
CASE-012,3,Update area drawings and include recent drain line changes.,Engineering Document Control,30–90 days,Document control review
CASE-012,4,Install supplemental lighting in congested pipe-rack zones.,Facilities Coordinator,>90 days,Illumination survey and operator feedback
CASE-012,5,Train contractor crews on assessing “non-flammable” services that may still present heat or spray hazards.,Training Coordinator,30–90 days,Attendance records
CASE-012,6,Introduce pre-hot-work leak check using absorbent wipes or temperature probes.,Maintenance Supervisor,Immediate,Field observations
CASE-012,7,Update fire watch checklist to include verification of nearby auxiliary lines.,HSE Advisor,<30 days,Toolbox talk reviews
CASE-012,8,Require re-validation of the hot-work area after any operational adjustments or isolation changes.,Operations Lead,Immediate,Permit audit
CASE-013,1,Introduce mandatory SIMOPS checklists for all work in shared areas.,HSE Systems Lead,<30 days,Permit audits
CASE-013,2,Implement a single coordination point for contractor and internal permits.,Operations Supervisor,Immediate,Review of daily permit logs
CASE-013,3,Deploy a SIMOPS board (physical or digital) showing all active work zones.,Maintenance Coordinator,30–90 days,Field inspection and user feedback
CASE-013,4,Require joint pre-task walkdowns anytime hot work is conducted near instrumentation tasks.,Instrumentation Lead,<30 days,Toolbox talk records
CASE-013,5,Update training to include real-case SIMOPS scenarios for contractors.,Training Coordinator,30–90 days,Attendance and competency checks
CASE-013,6,Enhance the permit-to-work system to flag adjacent or overlapping hazard zones automatically.,Digital Systems Administrator,>90 days,System testing logs
CASE-013,7,Add a daily SIMOPS briefing during shutdowns and high-activity periods.,Shutdown Manager,Immediate,Meeting records
CASE-013,8,Improve signage marking active hot-work areas and nearby energy sources.,Operations Lead,<30 days,Field inspection
CASE-014,1,Create a remote-support checklist including ergonomics and communication requirements.,HSE Systems Specialist,<30 days,Checklist reviewed during next remote session
CASE-014,2,Provide adjustable laptop stands and external keyboards for remote workers.,IT/Facilities Lead,30–90 days,Equipment distribution logs
CASE-014,3,Implement mandatory repeat-back communication for remote contractor support.,Operations Supervisor,Immediate,Field/remote task audits
CASE-014,4,Add module on remote-work human-factors risks to competency training.,Training Coordinator,30–90 days,Attendance and post-training quiz
CASE-014,5,Require remote staff to conduct a brief “readiness check” before high-risk tasks.,HSE Advisor,<30 days,Random call-start audits
CASE-014,6,"Set minimum audio quality standards for contractor-remote coordination (e.g., headset required).",IT Lead,Immediate,Periodic audio checks
CASE-014,7,Incorporate remote-work hazard identification into pre-job briefs for tasks involving off-site support.,Maintenance Planner,<30 days,Review of briefing forms
CASE-014,8,Develop dual-screen interface guidelines for remote engineering tasks.,Engineering Manager,>90 days,"Usability testing and feedback. If you want a different WFH case (e.g., cybersecurity, equipment access, distraction, fatigue, emergency coordination), I can generate another"
CASE-015,1,Add mandatory verification of secondary supports after insulation reinstatement. o,Maintenance Lead o,<30 days,Random field audits confirming updated checklist use
CASE-015,2,Update inspection procedure to require removal or repositioning of insulation that obstructs visibility. o,Operations Supervisor o,30–90 days,Documented procedure revision and pre-job briefs
CASE-015,3,Introduce a brief cross-team “equipment condition update” during shift handover. o,Shift Coordinator o,Immediate,Handover logs showing consistent communication
CASE-015,4,Conduct training on recognizing line-of-fire risks during mechanical inspections. o,HSE Advisor o,<30 days,Attendance and competency assessment
CASE-015,5,Implement a visual tag system indicating areas with temporary insulation or altered supports. o,Reliability Engineer o,30–90 days,Field checks confirming tag use in work zones
CASE-015,6,Review and improve mechanical support design for improved accessibility. o,Engineering Team Lead o,>90 days,Completed design review and recommended changes
CASE-015,7,Reinforce stop-work expectations through toolbox talks. o,Operations Supervisor o,Immediate,Toolbox attendance sheets and discussion summaries
CASE-015,8,Add this near miss to recurring safety case studies for awareness. o,HSE Advisor o,<30 days,Inclusion in the safety meeting deck
CASE-016,1,Implement mandatory radio ‑ swap program with charged spare batteries,Operations Supervisor,<30 days,Battery logs and field audits confirming 100% compliance
CASE-016,2,Introduce “worker location board” for crews operating across multiple areas,Maintenance Lead,30–90 days,Spot checks during toolbox talks
CASE-016,3,Add check ‑ in/check ‑ out requirement to confined ‑ space preparation procedure,HSE Advisor,>90 days,Procedure update review + training attendance records
CASE-016,4,Enhance shift ‑ handover template to include worker locations and ongoing tasks,Operations Superintendent,<30 days,Monthly handover audits
CASE-016,5,Install signage and physical markers around critical prep zones,Field Coordinator,30–90 days,Visual inspection and field verification
CASE-016,6,Conduct targeted communication-awareness training for all maintenance contractors,Contractor Management Lead,>90 days,Training completion reports and field observations
CASE-016,7,Perform a communications reliability assessment for high ‑ noise areas,Reliability Engineer,30–90 days,Assessment report and remedial action plan
CASE-016,8,"Add scenario ‑ based drills to confined ‑ space permit issuer training (e.g., missing worker, miscommunication)",HSE Training Coordinator,>90 days,Drill participation records and post ‑ drill evaluations
CASE-016,9,Evaluate need for additional charging stations located inside work zones,Facilities Services,30–90 days,Installation completion and field feedback
CASE-016,10,Review and simplify radio ‑ usage expectations in onboarding material,HR / Learning Team,<30 days,"Onboarding checklist updates Category: Near Miss Risk Level: High Setting: Process Area – Chemical Transfer System Date: 2021 Location: USA Injury Category: No Injury Severity: Potentially Significant Primary Classification: Health and Safety What happened A small operations crew was performing a scheduled flush of a chemical transfer line before maintenance. The work required isolations, drain ‑ down, verification of zero ‑ energy, and confirmation that all personnel were clear before opening the system. While preparing for the final verification, one operator left the immediate area to search for a missing hose clamp without informing the lead technician. When the team began the pre ‑ entry headcount before breaking containment, one worker could not be located. Radio calls went unanswered due to the worker having set the radio on a nearby cart while checking equipment. Concerned that the operator may have re ‑ entered the barricaded zone or approached the system while residual pressure remained, the team initiated the missing ‑ person protocol and halted isolations. The operator was later found in an adjacent storage area retrieving hardware. No exposure or system breach occurred, but the temporary uncertainty stopped all work and triggered emergency standby. What could have happened Worker could have encountered residual chemical vapors from incomplete isolation. Potential for line movement or unexpected pressure release during flush. Unauthorized proximity to the transfer manifold could have resulted in splashes or inhalation exposure. Crew might have initiated containment opening without full accountability. Why did it happen – Root causes Inadequate location ‑ tracking process for tasks requiring staged isolation and verification. Communication system not designed for mandatory radio carriage during chemical ‑ handling operations. Insufficient integration of personnel ‑ accountability steps into the flush procedure. Causal factors Worker left the zone during a critical step without performing required verbal check ‑ out. High noise levels reduced ability to hear verbal calls. Time pressure to complete line flush before turnaround activities. Poor visibility around the manifold due to portable barriers and equipment congestion. Radio charging setup encouraged operators to remove devices rather than swap batteries. What went well Crew initiated a stop ‑ work immediately after failed headcount. Barricades prevented any worker from unintentionally approaching the active manifold. Supervisor escalated quickly and activated the missing ‑ person protocol. Chemical isolation valves remained locked, preventing accidental drain ‑ down. Operator was found quickly due to coordinated search actions. Lessons to prevent re-occurrence Always maintain communications (radio or backup) during chemical ‑ handling preparation. Incorporate check ‑ in/check ‑ out steps into all multi ‑ stage isolation tasks. Improve visibility and layout around chemical manifolds to reduce congestion. Ensure workers know the location of required hardware before starting critical steps. Reinforce protocol that no one leaves the zone during pre ‑ break verification. Actions"
CASE-016,11,Implement mandatory radio ‑ swap stations with pre ‑ charged batteries,Operations Supervisor,<30 days,Field audit confirming 100% battery ‑ swap compliance
CASE-016,12,Add personnel ‑ accountability step to the chemical flush procedure,HSE Advisor,30–90 days,Procedure update review + training records
CASE-016,13,Install improved signage and barrier markers around transfer manifolds,Facilities/Field Coordinator,<30 days,Visual field inspection
CASE-016,14,Create a “hardware readiness checklist” for all line ‑ flush jobs,Maintenance Lead,30–90 days,Job package spot ‑ checks during audits
CASE-016,15,Conduct a hazard ‑ awareness refresher on movement restrictions during isolations,HSE Training Coordinator,>90 days,Attendance logs and post ‑ training assessment
CASE-016,16,Perform layout assessment to reduce congestion near the manifold zone,Reliability Engineer,30–90 days,Engineering report and implementation sign ‑ off
CASE-016,17,Add audible headcount confirmation step into toolbox talks for chemical work,Operations Lead,Immediate,Supervisor observations logged in shift reports
CASE-016,18,Update communication expectations in contractor and operator onboarding,HR / Learning & Development,<30 days,Onboarding material revisions + spot interviews
CASE-016,19,"Evaluate need for secondary communication devices (e.g., vibration pagers) in high ‑ noise zones",Engineering / Controls Team,>90 days,Trial results and adoption decision
CASE-016,20,Integrate missing ‑ person drill scenario into annual emergency ‑ response exercises,Emergency Response Coordinator,>90 days,"Drill evaluation reports Category: Near Miss Risk Level: High Setting: Elevated Access Platform – Maintenance Area Date: 2022 Location: Canada Injury Category: No Injury Severity: Potentially Significant Primary Classification: Health and Safety What happened A two ‑ person maintenance crew was assigned to perform an inspection on an elevated grated platform approximately four meters above grade. The activity required harness use, tie ‑ off to an approved anchor point, and controlled access via a single ladder. During the pre ‑ task briefing, both workers confirmed the fall ‑ arrest plan and inspected their equipment. Midway through the inspection, one worker left the platform to retrieve a missing torque wrench from a nearby tool cabinet but did not inform the spotter remaining at height. When the spotter finished the visual checks and performed a headcount before stepping down, the second worker could not be located. The spotter attempted radio contact but received no response. Concerned that the worker may have fallen through adjacent open grating or descended via an unapproved path, the spotter initiated the missing ‑ person protocol and halted all activity. The worker was found moments later at ground level searching for the tool. No fall occurred, but the loss of visibility triggered an elevated emergency response. What could have happened Worker could have fallen from the unguarded area while moving between platforms. Potential for slipping on dusty or uneven grated surfaces without a spotter present. Rescue team activation for a presumed fall, creating unnecessary risk exposure. Worker could have accessed a ladder without maintaining three ‑ point contact or proper tie ‑ off. Why did it happen – Root causes Fall ‑ protection plan lacked clear expectations around mandatory communication when leaving an elevated work zone. Pre ‑ task briefing did not emphasize continuous personnel accountability for work at height. Insufficient supervision of simultaneous tasks involving multiple movement paths. Causal factors Worker assumed a quick trip to the tool cabinet did not require notification. Radio volume was turned down due to earlier noise in the area. Tools were not fully prepared before accessing the elevated platform. Congestion near the platform base created visual blind spots. Ladder access point lacked signage indicating “Do not exit without notifying spotter.” What went well Spotter performed headcount before descending, catching the deviation early. Stop ‑ work authority was exercised immediately. Fall ‑ arrest systems were properly inspected and ready for use. Emergency response team was on standby and prepared to mobilize. Area barricades prevented unauthorized personnel from entering the elevated zone. Lessons to prevent re-occurrence Always notify team members before leaving any elevated work platform. Ensure full tool readiness before climbing. Maintain radio volume and test communications prior to starting work at height. Reinforce headcount and movement tracking during all elevated tasks. Improve visibility and markings around ladder access points. Actions"
CASE-016,21,Add mandatory “verbal check ‑ out” step to work ‑ at ‑ height procedures,HSE Advisor,<30 days,Updated procedure + field audit confirming usage
CASE-016,22,Create tool ‑ readiness checklist for elevated work,Maintenance Lead,<30 days,Random inspections of job packs
CASE-016,23,Install signage at ladder access: “Notify spotter before exiting platform”,Facilities Coordinator,30–90 days,Visual inspection and supervisor sign ‑ off
CASE-016,24,Conduct radio ‑ communication refresher for all workers performing at ‑ height tasks,Training Coordinator,>90 days,Attendance logs + post ‑ training quiz
CASE-016,25,Add movement ‑ tracking expectations to toolbox talk template,Operations Supervisor,Immediate,Toolbox talk audits across crews
CASE-016,26,Install additional visual markers around ladder landing to reduce blind spots,Reliability Engineer,30–90 days,Engineering report + field verification
CASE-016,27,Evaluate feasibility of installing secondary anchor points near tool ‑ storage routes,Engineering Team,>90 days,Feasibility study and implementation plan
CASE-016,28,Include missing ‑ person scenarios in annual fall ‑ protection rescue drills,Emergency Response Coordinator,>90 days,Drill evaluation report
CASE-016,29,Review equipment ‑ storage layout to minimize travel during elevated tasks,Maintenance Superintendent,30–90 days,Layout update + worker feedback
CASE-016,30,Require periodic spot ‑ checks on elevated ‑ work crews to reinforce communication expectations,Operations Manager,Immediate,Observation logs with follow ‑ up actions
CASE-017,1,Add personnel ‑ movement control step to elevated ‑ work SOP,HSE Advisor,<30 days,SOP audit & field interview
CASE-017,2,Implement mandatory grating ‑ cover policy for any adjacent-task work,Ops Superintendent,30–90 days,Field inspection program
CASE-017,3,Add radio ‑ battery readiness check to toolbox talks,Operations Supervisor,Immediate,Spot checks
CASE-017,4,Provide additional visual barricade kits to inspection teams,Maintenance Lead,30–90 days,Inventory review
CASE-017,5,Introduce tool ‑ readiness validation before elevated work,Reliability Engineer,>90 days,Audit of job packs
CASE-018,1,Add mandatory tie ‑ off checkpoints to cable ‑ handling procedures,Engineering Lead,<30 days,Procedure audit
CASE-018,2,Install “Tie ‑ Off Before Proceeding” signs at all temporary ladders,Facilities Coordinator,30–90 days,Field inspection
CASE-018,3,Train contractors on cable ‑ tension hazards in elevated environments,HSE Training Coordinator,>90 days,Training records
CASE-018,4,Implement peer ‑ check program for elevated ‑ task readiness,Construction Manager,Immediate,Supervisor logs
CASE-018,5,Introduce color ‑ coded lanyards to visually confirm tie ‑ off compliance,Site Safety Lead,30–90 days,Field observations
CASE-019,1,Introduce mandatory temporary railing or barricade for any guardrail removal,Maintenance Supervisor,Immediate,Daily field checks
CASE-019,2,Add walkway ‑ status updates to shift ‑ handover checklist,Operations Supervisor,<30 days,Handover audits
CASE-019,3,Perform lighting assessments on overhead routes,Electrical Lead,30–90 days,Lighting survey documentation
CASE-019,4,Formalize maintenance ‑ operations interface for access ‑ impacting work,HSE Advisor,>90 days,Procedure review
CASE-019,5,Install QR ‑ coded signage linking to real ‑ time access status,Digital Operations Team,>90 days,"System testing + field validation Category: Near Miss Risk Level: High Setting: Elevated Maintenance Platform in a Utilities Area Date: 2023 Location: Vancouver Injury Category: No Injury Severity: Potentially Significant Primary Classification: Health and Safety What happened A two ‑ person maintenance crew was calibrating a flow sensor mounted on an elevated platform above a piping rack. The task required accessing instruments located near a guardrail segment that had been temporarily removed for unrelated structural work. This change was noted in the work log but was not highlighted during the morning briefing. While repositioning a portable calibrator, one technician stepped backward to gain a better viewing angle and unknowingly moved within less than one metre of the unprotected edge. The second technician noticed the position deviation and immediately called for a stop. Work halted, and the exposed edge was barricaded before calibration proceeded. No fall occurred, but the proximity to the open edge represented a high ‑ potential incident. What could have happened Technician could have stepped into the unprotected opening and fallen approximately three metres to the level below. Secondary impact with piping or structural members could have resulted in severe injury. Dropped tools could have struck workers passing beneath the platform. Emergency response activation and work stoppage across the area. Why did it happen – Root causes Change in platform configuration was not integrated into the official access ‑ control or work ‑ at ‑ height procedure. Pre ‑ task hazard assessment lacked verification of temporary modifications in the work zone. Communication gaps between structural maintenance and instrumentation teams. Causal factors Technician focused on instrument display and not on edge awareness. Poor lighting near the removed guardrail reduced depth perception. The portable calibrator cart limited maneuverability, encouraging backwards movement. Morning briefing emphasized technical steps but did not cover updated area hazards. What went well Partner intervention occurred immediately when the unsafe position was observed. Stop ‑ work authority was exercised without hesitation. PPE (lanyards and harnesses) was available, even though the area was not initially categorized as requiring tie ‑ off. Temporary barricades were deployed quickly once the hazard was recognized. Lessons to prevent re-occurrence Always reassess hazard controls whenever access conditions change, even if unrelated to the primary task. Verify guardrails, barriers, and protection systems as part of pre ‑ task walkdowns. Ensure cross ‑ team communication on temporary modifications in shared work areas. Incorporate edge ‑ awareness reminders into calibration and inspection tasks requiring frequent repositioning. Actions"
CASE-019,6,Add a mandatory “temporary modification check” to pre ‑ task hazard assessments,HSE Advisor,<30 days,Review of updated assessment forms during field audits
CASE-019,7,Improve lighting around elevated platforms with modular LED units,Facilities Coordinator,30–90 days,Lighting survey confirming lux levels
